article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000048487;NOTEM L I P S incense stand | Noir;подставка для благовоний;;1890;1701;https://goldapple.ru/19000048487-l-i-p-s-incense-stand-noir;2.58;Расслабление и наполнение дома приятным ароматом — главная цель подставки под благовония.  Для изготовления мы не используем гипс и бетон! Подставки сделаны исключительно из премиального долговечного материала - Jesmonite, который мы привозим из Англии. Это композитный полимер, в состав которого входит бетон, цветной кварц, мраморная крошка и слюда.   Благодаря Jesmonite, подставка приобретает идеальный чёрно-угольный цвет. Материал не только отличается качеством, но еще и приятен на ощупь.  На низ каждого изделия мы приклеиваем пробковый коврик, чтобы уберечь вашу мебель от царапин.   Форма подставки за счёт премиального материала в совершенстве повторяет изгибы губ. Размер прекрасно подходит для благовоний, пепел будет осыпаться точно на подставку.   Подставка станет идеальным уже готовым подарком для себя и близких! Ведь каждую мы упаковываем в фирменную подарочную упаковку.;Разместите подставку на плоскую поверхность, затем вставьте в отверстие аромалочку и подожгите ее.   На подставку также можно положить шалфей или палочку пало санто.    Не рекомендуем жечь на подставке палочки горчичного цвета, так как они оставляют пятна, которые не отмываются.
19000113561;WELOVEWOOD для благовоний;подставка для благовоний;;1190;833;https://goldapple.ru/19000113561-dla-blagovonij;1.8;Подставка для ароматических палочек от Welovewood из натурального дерева - ясеня. У держателя для благовония есть отверстие 3 мм, которое подходит для большинства аромапалочек. У подставки не только современный дизайн, но и очень полезный функционал - благодаря красивой фрезеровки пепел остается в приямках и не падает на поверхности, сохраняя чистоту в доме и приятные эмоции от процесса. Благодаря своему универсальному дизайну подставка для аромапалочек впишется в любой интерьер. Каждый, кто любит благовонии, по достоинству оценит этот держатель для ароматических палочек.  Размеры (ДхШхВ): 9х9х2 см Вес: 0,08 кг Материал: массив ясеня Покрытие: масло для столешниц;Для аромапалочек и благовоний
19000120510;HOME OWNER Bali Palm-Сoncrete, серый;подставка для благовоний;;2958;1479;https://goldapple.ru/19000120510-bali-palm-soncrete-seryj;0.8;Лаконичная, увесистая подставка для благовоний отражает суть балийской культуры – концентрироваться на себе, а не на вещах. Вас ничто не должно отвлекать от концентрации и самопознания. Изготовлена из бетона с выбором цвета. Стильный элемент эко пространств. ДxШxВ: 255x35x20 мм Вес: 250 г;
19000067381;HOME OWNER insense holder beige;подставка для благовоний;;2958;1479;https://goldapple.ru/19000067381-insense-holder-beige;0.6;Может использоваться совершенно в разных целях в любом уголке вашего дома. Лаконичная форма, минималистичный дизайн.;
19000120516;HOME OWNER 2hands, белый;подставка для благовоний;;4358;1743;https://goldapple.ru/19000120516-2hands-belyj;0.2;«Одна рука хорошо, а 2 лучше» Новая версия бетонной подставки для благовоний в балийском дизайне для тех кому больше по душе именно этот вариант. Ставим благовония, зажигаем и переносимся мысленно на Бали - все просто. Повторять каждый день. Размер: 138х90х35 Вес: 300 гр;
19000209555;VIBE OF YOUR HOME Черный Будда;подставка для благовоний;Россия;1100;880;https://goldapple.ru/19000209555-cernyj-budda;;Дизайнерская подставка в виде будды, держащего палочку благовоний, станет интересным элементом декора.;Используйте будду в качестве подставки для ароматических палочек или модной статуэтки в вашем пространстве
19000193180;ROKKYHOME Средняя, Серый-мрамор;подставка для благовоний;Россия;1250;1023;https://goldapple.ru/19000193180-seryj-mramor;;Гипсовая подставка для ароматического диффузора. В комплекте - форма для домашнего парфюма выполненный из высокопрочного гипса с пробковым дном. Форма отлично впишется в любой интерьер за счет своего минималистичного вида. Особые преимущества емкости - вы можете выбрать картридж с любым ароматом и пометить его в форму. Как только диффузор выветрится, вы сможете приобрести новый картридж и заменить его. При этом гипсовая ёмкость будет служить вам долгие года.   Регулируйте интенсивность запаха количеством ароматических палочек. Если аромат станет менее ощутим, переверните палочки во флаконе.  Наш ароматизатор для дома станет отличным настольным украшением и органичным предметом интерьера. Это современно, стильно, и функционально. Он отлично впишется в дизайн квартиры, дома, салона красоты, ресторана.   Гипсовая форма многоразовая и не требует дополнительного ухода. Поднимите верхнюю круглую крышку с основания банки, емкость с ароматической жидкостью, закройте крышку, вставьте фибровые палочки, которые идут в комплекте к картриджу с ароматом.  ВНИМАНИЕ: Заливать жидкость внутрь формы нельзя. Уважаемые покупатели, в гипсовую форму вмещаются не все стеклянные емкости.  Наши картриджи с ароматом, которые вы можете заказать в бренде RokkyHome подобраны специально для этой гипсовой емкости. Для емкости в 100 мл подходит картридж с ароматом в 50 мл или 100 мл.;ВНИМАНИЕ: Заливать жидкость внутрь формы нельзя. Уважаемые покупатели, в гипсовую форму вмещаются не все стеклянные емкости. Поднимите верхнюю круглую крышку с основания банки, емкость с ароматической жидкостью, закройте крышку, вставьте фибровые палочки, которые идут в комплекте к катриджу с ароматом.
19000230550;HOME OWNER Moon;подставка для благовоний;Россия;4358;2484;https://goldapple.ru/19000230550-moon;;Форма Луны не стандартная и в этом ее преимущество, вы можете разместить приятные мелочи на ней или благовония, пало санто и свечку для атмосферы.;Использовать в качестве декоративной подставки для благовоний.
19000230551;HOME OWNER Hearth;подставка для благовоний;Россия;4358;2179;https://goldapple.ru/19000230551-hearth;;Тарелочка для сжигания благовоний.;Использовать в качестве подставки для сжигания благовоний.
19000067365;HOME OWNER Bali hand white;подставка для благовоний;;6108;3054;https://goldapple.ru/19000067365-bali-hand-white;;Подставка в форме руки для благовоний, пало санто или украшений.  По размеру идентична средней женской ладони, вместительна и многофункциональна.   ДxШxВ: 150x100x50 мм  Вес: 500 г;
19000120518;HOME OWNER 2hands, черный;подставка для благовоний;;4358;2179;https://goldapple.ru/19000120518-2hands-cernyj;;«Одна рука хорошо, а 2 лучше» Новая версия бетонной подставки для благовоний в балийском дизайне для тех кому больше по душе именно этот вариант. Ставим благовония, зажигаем и переносимся мысленно на Бали - все просто. Повторять каждый день. Размер: 138х90х35 Вес: 300 гр;
99000092602;ENSEMBLE fatty;подставка для благовоний;Россия;1390;1390;https://goldapple.ru/99000092602-fatty;;"Подставка под благовония ""Толстушка"" — это символ гармонии и дзена. Выполненное в позе лотоса изделие обязательно вызовет интерес у ваших гостей. Идеально смотрится в любой интерьере. Выполнена из бетона. Вес: 160 г. Высота - 10 см, ширина – 8,5 см.";Разместите ароматическую палочку или благовония в отверстие подставки.
19000193179;ROKKYHOME Средняя Белая;подставка для благовоний;Россия;1250;1125;https://goldapple.ru/19000193179-belaa;;Гипсовая подставка для ароматического диффузора. В комплекте - форма для домашнего парфюма выполненный из высокопрочного гипса с пробковым дном. Форма отлично впишется в любой интерьер за счет своего минималистичного вида. Особые преимущества емкости - вы можете выбрать картридж с любым ароматом и пометить его в форму. Как только диффузор выветрится, вы сможете приобрести новый картридж и заменить его. При этом гипсовая ёмкость будет служить вам долгие года.   Регулируйте интенсивность запаха количеством ароматических палочек. Если аромат станет менее ощутим, переверните палочки во флаконе.  Наш ароматизатор для дома станет отличным настольным украшением и органичным предметом интерьера. Это современно, стильно, и функционально. Он отлично впишется в дизайн квартиры, дома, салона красоты, ресторана.   Гипсовая форма многоразовая и не требует дополнительного ухода. Поднимите верхнюю круглую крышку с основания банки, емкость с ароматической жидкостью, закройте крышку, вставьте фибровые палочки, которые идут в комплекте к картриджу с ароматом.  Наши картриджи с ароматом, которые вы можете заказать в бренде RokkyHome подобраны специально для этой гипсовой емкости. Для емкости в 100 мл подходит картридж с ароматом в 50 мл или 100 мл.;Заливать жидкость внутрь формы нельзя.  Уважаемые покупатели, в гипсовую форму вмещаются не все стеклянные емкости.  Поднимите верхнюю круглую крышку с основания банки, емкость с ароматической жидкостью, закройте крышку, вставьте фибровые палочки, которые идут в комплекте к картриджу с ароматом.
19000120515;HOME OWNER Инь-Ян, белый;подставка для благовоний;;4008;3607;https://goldapple.ru/19000120515-in-an-belyj;;Это не просто подставка для благовоний, это конструктор - подставка, которую вы можете самостоятельно собрать. Это 2 части - инь с черными камушками и ян с белым песком. Размер: 137х137х10 Вес: 100 гр;
19000067363;HOME OWNER Bali hand black;подставка для благовоний;;6108;3054;https://goldapple.ru/19000067363-bali-hand-black;;Подставка в форме руки для благовоний, пало санто или украшений.  По размеру идентична средней женской ладони, вместительна и многофункциональна.   ДxШxВ: 150x100x50 мм  Вес: 500 г;
19000227792;WOODISH GOA;подставка для благовоний;Россия;1200;1200;https://goldapple.ru/19000227792-goa;;Подставка для благовоний WOODISH GOA - это стильный и функциональный аксессуар для вашего дома.  Изготовленная из высококачественного материала, она обеспечивает долговечность и надежность в использовании.  Наша подставка поможет создать уютную и расслабляющую атмосферу в вашем доме.  Размеры 27х5х1,2 см.;Устанавливается на любую ровную поверхность.
19000067366;HOME OWNER Bali hand beige;подставка для благовоний;;6108;3054;https://goldapple.ru/19000067366-bali-hand-beige;;Подставка в форме руки для благовоний, пало санто или украшений.  По размеру идентична средней женской ладони, вместительна и многофункциональна.   ДxШxВ: 150x100x50 мм  Вес: 500 г;
19000067369;HOME OWNER Budda head mini black;подставка для благовоний;;2608;1304;https://goldapple.ru/19000067369-budda-head-mini-black;;Миниатюрная статуэтка / подставка под благовония «Голова Будды». Хорошо держит благовония, не занимает много места и отлично смотрится в любом интерьере. Создайте расслабляющую атмосферу в помещении с помощью правильных предметов. Немного балийского лаунджа у вас дома.    ДxШxВ: 80x50x50 мм  Вес: 150 г;
