article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000009177;FLAME MOSCOW Incense Jackie;благовония;;850;646;https://goldapple.ru/19000009177-incense-jackie;27.6;Ноты амбры, цветов табака, сладкой мадагаскарской ванили, кориандра и бобов тонки создают слегка карамельный, немного пряный, но при этом достаточно темный и глубокий аромат.;Время горения 1 час  Продолжительность ароматизации 6ч  Многие клиенты подтверждали, что несмотря на проветримаемость комнат, аромат чувствовался на следующий день, а также иногда и на следующие сутки. Это зависит от помещения и количества пористых поверхностей, который впитывают и испаряют аромат после использования благовоний
19000009184;FLAME MOSCOW Incense Varvara;благовония;;850;646;https://goldapple.ru/19000009184-incense-varvara;25.38;Аромат Varvara задуман как жемчужина, украшающая любое место и носящего человека.  Яркие и звучные отсылки к маленьким радостям жизни олицетворены в нотах кофейного ликера, лесной черники и сладкого воздуха полей люпина. Varvara оставляет за собой благородный шлейф травянистого ветивера, сливочного сандала и бальзамического, смолистого стиракса. Независимо от того, где стоят ароматические свечи flame — на прикроватной тумбочке, журнальном столике или на стопке любимых книг и журналов — они украсят ваш интерьер. Горящая свеча создает уютное эфирное свечение, легкие и живые ароматы наших аромасвечей пронизывают пространство.;Время горения 1 час Продолжительность ароматизации 6ч Многие клиенты подтверждали, что несмотря на проветримаемость комнат, аромат чувствовался на следующий день, а также иногда и на следующие сутки. Это зависит от помещения и количества пористых поверхностей, который впитывают и испаряют аромат после использования благовоний
19000009179;FLAME MOSCOW Marie;благовония;;850;646;https://goldapple.ru/19000009179-incense-marie;20.5;Земляные и бальзамические ноты сосны, лесной хвои и мускуса балансируют с яркими лимонными и мятными акцентами. Сандал и кедр добавляют теплоты и близости. Этот аромат напоминает старого хорошего друга: он утонченный, но по-семейному близкий.;Время горения 1 час  Продолжительность ароматизации 6ч  Многие клиенты подтверждали, что несмотря на проветримаемость комнат, аромат чувствовался на следующий день, а также иногда и на следующие сутки. Это зависит от помещения и количества пористых поверхностей, который впитывают и испаряют аромат после использования благовоний
19000192239;SATYA NC Super Hit;благовония;Индия;136;122;https://goldapple.ru/19000192239-nc-super-hit;19.2;"Благовоние Satya ""NC Super Hit""  - редкие благовония с экстрактами белого и красного сандала. Изготавливаются из бамбуковой лучины и древесной смолы, пропитанной эфирным маслом, которое получается путем паровой отгонки из сандаловой древесины.  Способствует расслаблению и умиротворению. Белый и красный сандал обладают уникальными свойствами: приводят в равновесие тело, душу и дух.";Поджечь верхнюю часть ароматизатора и сразу же легким движением струсить струей воздуха пламя, чтобы состав благовоний начал постепенно тлеть.  Далее стоит зафиксировать в вертикальном положении аромапалочку так, чтобы к ней не было доступа у домашних питомцев и детей. Время тления палочки, как правило, составляет 45-60 минут.  Рекомендуется не оставлять палочку вблизи легковоспламеняющихся предметов и на сквозняках.
19000192233;SATYA Arabian Oudh;благовония;Индия;118;106;https://goldapple.ru/19000192233-arabian-oudh;19.0;"Благовоние Satya ""Arabian Oudh"" дарят пряный насыщенный аромат арабских специй, а также обладают антибактериальными и защитными свойствами.  Благовоние Арабский Уд приятно согревает, располагает к дружеской беседе, помогает открыться собеседнику и защищает от негативного воздействия. Успокаивает и снижает уровень агрессии, положительно влияет на нервную и иммунную систему.";Поджечь верхнюю часть ароматизатора и сразу же легким движением струсить струей воздуха пламя, чтобы состав благовоний начал постепенно тлеть.  Далее стоит зафиксировать в вертикальном положении аромапалочку так, чтобы к ней не было доступа у домашних питомцев и детей. Время тления палочки, как правило, составляет 45-60 минут.  Рекомендуется не оставлять палочку вблизи легковоспламеняющихся предметов и на сквозняках.
19000192230;SATYA Blood Dragon;благовония;Индия;122;109;https://goldapple.ru/19000192230-blood-dragon;12.48;"Благовоние Satya ""Blood Dragon"" зарядит энергией для новых свершений и поддержит боевой дух. Терпкий пряный аромат наполняет бодростью, повышает работоспособность, усиливает концентрацию внимания и память.  Благовоние Кровь Дракона восполняет запас энергии, поднимает настроение и повышает устойчивость к умственным и физическим нагрузкам.";Поджечь верхнюю часть ароматизатора и сразу же легким движением струсить струей воздуха пламя, чтобы состав благовоний начал постепенно тлеть.  Далее стоит зафиксировать в вертикальном положении аромапалочку так, чтобы к ней не было доступа у домашних питомцев и детей. Время тления палочки, как правило, составляет 45-60 минут.  Рекомендуется не оставлять палочку вблизи легковоспламеняющихся предметов и на сквозняках.
19000009183;FLAME MOSCOW Incense Cora;благовония;;850;646;https://goldapple.ru/19000009183-incense-cora;10.14;Искрящийся полет в ясном небе. Солнечные ноты грейпфрута, мирры и лаванды раскрываются в душистом облаке розового перца. Сладкие ноты бензоиновой смолы и амбры добавляют оттенок теплой летней дымки. Cora напоминает о беззаботных днях, первых поцелуях и желаниях, загаданных на падающие звезды.;Время горения 1 час Продолжительность ароматизации 6ч Многие клиенты подтверждали, что несмотря на проветримаемость комнат, аромат чувствовался на следующий день, а также иногда и на следующие сутки. Это зависит от помещения и количества пористых поверхностей, который впитывают и испаряют аромат после использования благовоний
19000009180;FLAME MOSCOW Incense Maya;благовония;;850;646;https://goldapple.ru/19000009180-incense-maya;9.12;Аромат Maya имеет сильную основу в виде древесно-бальзамической копайбы, мускуса и сандала, играющей на фоне ярких верхних нот жасмина, лаванды и апельсина.;Время горения 1 час Продолжительность ароматизации 6ч Многие клиенты подтверждали, что несмотря на проветримаемость комнат, аромат чувствовался на следующий день, а также иногда и на следующие сутки. Это зависит от помещения и количества пористых поверхностей, который впитывают и испаряют аромат после использования благовоний
19000192254;SATYA Yogic meditation Incense;благовония;Индия;122;109;https://goldapple.ru/19000192254-yogic-meditation-incense;9.0;"Благовоние ""Yogic meditation Incense"" Satya отлично подходит для проведения духовных практик и занятий йогой, помогает настроиться на медитативный лад, полностью расслабиться и погрузиться в процесс. Снимает раздражительность, усталость, переутомление и тревогу, наполняет покоем и умиротворением. Снижает уровень напряженности, тревожности, нервозности.";Поджечь верхнюю часть ароматизатора и сразу же легким движением струсить струей воздуха пламя, чтобы состав благовоний начал постепенно тлеть. Далее стоит зафиксировать в вертикальном положении аромапалочку так, чтобы к ней не было доступа у домашних питомцев и детей. Время тления палочки, как правило, составляет 45-60 минут. Рекомендуется не оставлять палочку вблизи легковоспламеняющихся предметов и на сквозняках.
19000192224;SATYA Natural;благовония;Индия;130;104;https://goldapple.ru/19000192224-natural;5.76;"Благовоние Satya ""Natural"" защищает дом от негативных энергетических воздействий, очищают ауру, оберегают от сглаза и порчи. Убирает неприятные запахи, носит общеукрепляющие свойства и наполняет дом чудесными цветочно-древесными оттенками. Воскуривание благовония поможет при решении важных вопросов, на первых этапах планирования новых проектов, придаст силы для встречи с деловыми партнерами.";Поджечь верхнюю часть ароматизатора и сразу же легким движением струсить струей воздуха пламя, чтобы состав благовоний начал постепенно тлеть. Далее стоит зафиксировать в вертикальном положении аромапалочку так, чтобы к ней не было доступа у домашних питомцев и детей. Время тления палочки, как правило, составляет 45-60 минут. Рекомендуется не оставлять палочку вблизи легковоспламеняющихся предметов и на сквозняках.
