article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000135249;W.DRESSROOM Dress&living clear perfume NO.97 April Cotton;спрей ароматический;Республика Корея;875;507;https://goldapple.ru/19000135249-dress-living-clear-perfume-no-97-april-cotton;201.6;"Тонкий, нежный, ненавязчивый аромат, напоминающий запах цветов хлопка после дождя, прекрасно освежает одежду, обувь, предметы интерьера и салон автомобиля, нейтрализует неприятные запахи. Аромат сочетает несколько нот: верхние - лайм, бергамот, анис, груша, гвоздика; средние - роза, лилия, фиалка; базовые - мускус, амбра, ваниль, мед, сандал.";Хорошо встряхните флакон перед использованием, сделайте 2-3 пшика с расстояния 20-30 см на желаемый участок. Его можно использовать не только для одежды, но и для салона автомобиля, мебели, штор, гардеробных и постельных принадлежностей.
19000326757;BISOU Forest phytoncides;спрей ароматический;Россия;499;374;https://goldapple.ru/19000326757-forest-phytoncides;64.24;Спрей  для сна с невероятным ароматом лесных фитонцидов –  билет в волшебный мир ночного леса. Фитонциды, извлеченные из свежих лесных зеленых насаждений, создают атмосферу уединения и гармонии, способствуя спокойному и глубокому сну. Легкое облако аромата словно заносит вас в лесную чащу, где каждый вдох наполнен благотворными свойствами древесных фитонцидов. Отпустите напряжение дня и дайте своему уму уединиться с природой, погружаясь в ароматическое путешествие в объятиях лесной россыпи.;Распылите продукт на постельное белье и/или тело.
19000306251;BANKA_HOME Чистый хлопок;спрей ароматический;Россия;1190;1071;https://goldapple.ru/19000306251-cistyj-hlopok;40.5;Парфюмированный спрей Fresh line - Чистый хлопок. Средство для ароматизации воздуха в помещениях и автомобиле, придания аромата текстилю.                  Аромат чистого белья в свежий солнечный день. Дополнен оттенками цитрусовых, зеленого яблока, кедра, жасмина, лаванды и лилии.;
19000361841;AROMA HARMONY № 15 Cedar;спрей ароматический;Россия;305;274;https://goldapple.ru/19000361841-no-15-cedar;34.56;Верхние ноты аромата начинаются с дымного, древесного, слегка сладкого гваякового дерева. Его богатый и сложный аромат добавляет композиции глубину и характер.  Далее слышны бальзамические ноты пачули, а обрамляет композицию медовый кедр с оттенками специй.;Распылить на белье, подушки, одежду, шторы, ковры, мягкую мебель. Для более эффективно и легкой глажки бедья, расспылить непосредственно на ткань и гладить, как обычно.
19000361840;AROMA HARMONY № 24 Wood;спрей ароматический;Россия;305;237;https://goldapple.ru/19000361840-no-24-wood;32.4;Пряные и древесные оттенки уда рисуют в воображении образ загадочного востока, его таинственность. Сладковатая и мягкая амбра добавляет аромату тепла. Завершающий аккорд композиции – свежая, чистая и успокаивающая лаванда.  Ее травяные и цветочные ноты словно переносят вас на поля лавандовых ферм, где время течёт медленнее.;Распылить на белье, подушки, одежду, шторы, ковры, мягкую мебель. Для более эффективно и легкой глажки бедья, расспылить непосредственно на ткань и гладить, как обычно.
19000155387;VAN&MUN Blooming cotton;спрей ароматический;Россия;490;333;https://goldapple.ru/19000155387-blooming-cotton;31.68;Свежий, мягкий, сладковатый цветочный аромат на базе мускуса с едва уловимыми зелеными нотами создаст атмосферу легкости в любом помещении. Спрей для дома подходит для использования в жилых помещениях, офисах, салонах красоты или магазинах.;Снимите колпачок. Распылите спрей. На текстиль мы рекомендуем распылять спрей с расстояния не менее 20-30 см во избежание пятен. Не рекомендуется распылять спрей на шелк и кожу. Перед применением протестируйте спрей на незаметном участке поверхности. В автомобиле направьте распылитель центральную часть салона, достаточно одного впрыска. Наслаждайтесь ароматом!
19000090586;MEDORI Nobility;спрей ароматический;;373;249;https://goldapple.ru/19000090586-nobility;31.02;Универсальный интерьерный парфюм, для всех видов помещений.;В интерьере дома, офиса, дачи.
19000236099;NICE BY SEPTIVIT Formula 01;спрей ароматический;Россия;423;338;https://goldapple.ru/19000236099-formula-01;28.8;"NICE by Septivit - эксперт в сфере эко продуктов для ухода за собой и домашнего уюта. Вся продукция компании разработана в собственной лаборатории SEPTIVIT: полностью безопасна для здоровья и экологии, а также не тестируется на животных.  Парфюм для дома ""Formula perfume 01"" объемом 300 мл - это универсальный освежитель воздуха, призванный создать уютную благоухающую атмосферу у вас дома. Гипоаллергенный акваспрей-освежитель на водной основе безопасен для природы и человека.  Водный поглотитель запаха не только приносит освежающий аромат, но и нейтрализует стойкие неприятные запахи от домашних животных, приготовления пищи, туалета, табачных изделий ( антитабак ) и других источников. Освежитель используют как для жилых комнат, туалета и ванны, так и для машины, шкафа для одежды и белья, гаража и других помещений.  Удобный спрей дозатор помогает равномерно распылять средство. Нейтрализатор запаха с ароматом розового дерева обладает уникальной способностью создавать атмосферу спокойствия и гармонии. Он идеально сочетает в себе нежность и стойкость, придавая ощущение умиротворения и расслабления.  Идеальный выбор для тех, кто хочет создать в своем доме атмосферу комфорта и уюта. Поддерживайте экологию и получайте удовольствие от уютной атмосферы у себя дома вместе с ароматизатором от NICE BY SEPTIVIT. Нажмите на логотип продавца SEPTIVIT Premium, чтобы ознакомиться с широким ассортиментом экологически чистой продукцией бренда.";Хорошо встряхните флакон. Держа его вертикально, распылите в нужном количестве по помещению. При необходимости повторите.
19000326756;BISOU Flower greenhouse;спрей ароматический;Россия;499;349;https://goldapple.ru/19000326756-flower-greenhouse;28.38;Погрузитесь в чарующий мир цветочной оранжереи. Восхитительные ароматы цветов, создавая атмосферу нежности и блаженства, приглашают в роскошный сад снов. Легкое облако, наполненное нежными цветочными оттенками, окутывает вас словно шелковое одеяло. Вы окружены ароматами фиалки, лаванды и жасмина, будто находитесь в волшебной оранжерее, которая превращает каждый вечер в исключительное событие.;Распылите продукт на постельное белье и/или тело.
19000361839;AROMA HARMONY № 8 Pepper;спрей ароматический;Россия;305;237;https://goldapple.ru/19000361839-no-8-pepper;27.84;Аромат начинает свою композицию с нот чёрного перца, раскрываясь лёгкой древесностью и терпкостью.  Постепенно пробуждаются пряные и теплые ноты кардамона, аккорды которого наполняют пространство манящей тайной.  Начиная своё звучание, амбра придаёт аромату глубину и пленительную медовую сладость;Распылить на белье, подушки, одежду, шторы, ковры, мягкую мебель. Для более эффективно и легкой глажки бедья, расспылить непосредственно на ткань и гладить, как обычно.
19000294889;UNEEDME COSMETICS Morning Intro Perfumed;спрей ароматический;Россия;1155;693;https://goldapple.ru/19000294889-morning-intro-perfumed;27.0;Парфюмированный спрей Morning Intro для ароматизации пространства и текстиля. Morning Intro- это таинственный момент. Раннее летнее утро, охотно раскрывающее свои объятия вам навстречу, и уже через мгновение вы целиком и полностью в его власти! Аромат пробуждает размышления, мечты и дарит умиротворение. Тот самый момент, когда мы осознаем свой истинный путь и предназначение.  Сердце парфюмерной композиции представляет собой гармоничный букет из ментола, амбры и пиона, согревающий восточно-древесный аккорд, пробуждающий чувственность. Ирис и Ваниль придают композиции нежный пудровый оттенок.  Изысканный кедр и пралине формируют тёплую базу аромата. Аромат строится на контрасте цветочных и древесных нот, женского и мужского начала, образуя идеальный баланс. Morning Intro- это символ пробуждения, напоминание о том, что красота и вдохновение находятся в каждом мгновении нашей жизни, если только мы научимся их замечать.  Ольфакторная пирамида: Цветочно-Пудровый.  Верхние ноты: Бергамот, Яблоко, Ирис, Пралине.  Средние ноты: Пачули, Кедр, Ментол, Пион, Амбра.  Базовые Ноты: Мексиканская Ваниль, Жасмин.;Для ароматизации пространства и текстиля, распылите нужное количество парфюма в помещении, на мягкую мебель, постельное белье, одежду, ковры, шторы на расстоянии 20-30см.
19000306250;BANKA_HOME Чёрное море;спрей ароматический;Россия;1190;1071;https://goldapple.ru/19000306250-cernoe-more;25.2;"Парфюмированный спрей ""Черное море"". Средство для ароматизации воздуха в помещениях и автомобиле, придания аромата текстилю сладкие, но в то же время, соленые океанические аккорды сочетаются с нотами янтаря и ванили. Черное море было известно древним цивилизациям как ""конец известного мира"". Есть легенды, что его воды скрывают потерянную Атлантиду. Его тайны и интриги вдохновили на создание этого соблазнительного аромата.";Встряхните флакон перед использованием. Держа флакон вертикально, распылите в необходимом количестве в помещении. На текстиль распылять на расстоянии 30-50 см от поверхности.
19000391315;ORIATIQUE LAUNDRY;спрей ароматический;Россия;381;342;https://goldapple.ru/19000391315-laundry;23.22;Парфюм для дома с ароматом кристальной чистоты и бодрящей свежести. Ноты мягкого кашемира и мускуса, альдегидов и амбры окутывают пространство воздушностью и легкостью, словно прохладное постельное бельё только что из стирки.;Распылите необходимое количество средства в воздухе.  Подходит для гостиных, спален, кабинетов.  Для усиления ароматического эффекта рекомендуется распылить спрей на текстиль: мягкую мебель, шторы, ковры.
19000306254;BANKA_HOME Дубовый мох и амбра;спрей ароматический;Россия;1190;1071;https://goldapple.ru/19000306254-dubovyj-moh-i-ambra;21.6;Парфюмированный спрей Perfume line - Дубовый мох и амбра . Средство для ароматизации воздуха в помещениях и автомобиле, придания аромата текстилю.                    Многие ароматы можно классифицировать только как мужские или женские. Данный экземпляр не является ни одним из них.  Он имеет универсальную привлекательность с богатыми древесными и мускусными нотами, но в то же время наполнен очаровательным слиянием трав и янтаря, которые придают ему женский оттенок. Этот сложный высококачественный аромат придется по вкусу многим гурманам ароматерапии.;
