article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000296536;HEM Роза;ароматические масла;Индия;224;201;https://goldapple.ru/19000296536-roza;2.0;Ароматическое масло Роза предназначено для устранения неприятных запахов и дезодорирования помещения. Оно распространяет тонкий цветочный свежий аромат. Его используют для медитаций, духовных практик, молитв, занятий йогой. Аромат розы восстанавливает душевное равновесие, притягивает удачу, позитив, очищает помещение и ауру от негатива. Повышает настроение, работоспособность, избавляет от усталости, депрессии, бессонницы. Укрепляет нервную систему, избавляет от панических атак, уменьшает головную боль, снижает частоту мигреней. Помогает достичь нужного состояния транса во время медитаций.;Несколько капель масла добавить в аромалампу. Зажечь ее и оставить в помещении на несколько часов.
19000296557;HEM Морской Бриз;ароматические масла;Индия;336;288;https://goldapple.ru/19000296557-morskoj-briz;1.2;Ароматическое масло Морской Бриз предназначено для устранения неприятных запахов, дезодорирования помещения. Оно подходит для медитаций, духовных практик, молитв, занятий йогой, помогая войти в транс. Масло распространяет свежий морской аромат, который погружает в состояние блаженства, расслабляет, избавляет от напряжения и усталости. Успокаивает нервы, восстанавливает сон, стабилизирует душевное равновесие и эмоциональное состояние. Избавляет от раздражения, агрессии, выводит из стресса и депрессии, настраивает на позитивное мышление. Создает в доме уютную спокойную обстановку.;Несколько капель масла добавить в аромалампу. Зажечь ее и оставить в помещении на несколько часов.
19000118725;CHIARA FIRENZE CARDAMOMUM;ароматические масла;;2120;1780;https://goldapple.ru/19000118725-cardamomum;1.0;Chiara Firenze посвящает свои ароматы в особый регион: Тоскана. история совершенства, страсти и связи с территорией, а также диалога между знаниями и далекими культурами. парфюмерное искусство и выбор ценных эфирных масел, таким образом, встречает мастеров флорентийских ремесленных мастерских, чтобы возродить магию этой особой земли в ваших комнатах. Опьяняющий аромат, получивший свое название от пряности, которая в древности считалась «пряностью, заставляющей влюбляться». Это незаменимый аромат, когда вы чувствуете недостаток энергии и усталость. Кардамон- это пряные тона, подслащенные нотами листьев мандарина и мускатного ореха , он придает силы и стимулирует мозговую активность.;
19000193171;ERBE TOSCANE Tea Tree;ароматические масла;Италия;1690;1690;https://goldapple.ru/19000193171-tea-tree;1.0;"100% натуральное эфирное масло Bio, изготовленное из чайного дерева в регионе Тоскана, Италия. Эфирное масло чайного дерева Melaleuca alternifolia обладает антибактериальным, антисептическим и противовоспалительным свойством. Помогает при бронхите, астме, кашле, синусите и простуде. Кроме того, оно успокаивает раздражение кожи и снимает зуд и покраснение.   Содержит только натуральные и биологические ингредиенты, тщательно отобранные, выращенные с терпением, собранные с уважением и обработанные с мудростью. Без красителей, ароматизаторов и синтетических консервантов. Это часть нашего выбора совершенства: мы самостоятельно выращиваем лаванду для производства эфирного масла. Только лучшее попадают в нашу официальную лабораторию Antichi Remedi di Arcidosso, в самом сердце Тосканы в Италии. Концепт ""Медленная красота"" - это ежедневный ритуал, питающий тело и душу, используемый не только как личный парфюм, но и восстанавливающий здоровье тела и души. Эфирное масло пригодно для создания массажных масел и ароматических жидкостей.";
19000118733;CHIARA FIRENZE OSTRO;ароматические масла;;2120;1780;https://goldapple.ru/19000118733-ostro;0.8;Chiara Firenze посвящает свои ароматы в особый регион: Тоскана. история совершенства, страсти и связи с территорией, а также диалога между знаниями и далекими культурами. парфюмерное искусство и выбор ценных эфирных масел, таким образом, встречает мастеров флорентийских ремесленных мастерских, чтобы возродить магию этой особой земли в ваших комнатах. Южный ветер Австер. Аромат получил свое название от легкого теплого ветра, дующего с юга, приносящего ароматы с нотами мандарина и ванили, которые делают его запах сладким и слегка пряным.;
19000296519;HEM Цитронелла;ароматические масла;Индия;224;192;https://goldapple.ru/19000296519-citronella;0.8;Ароматическое масло Цитронелла предназначено для устранения неприятных запахов и дезодорирования помещения. Оно распространяет насыщенный цитрусовый аромат. Подходит для медитаций, духовных практик, молитв, занятий йогой. Помогает полностью расслабиться на сеансах массажа. Аромат цитронеллы напоминает лето, расслабляет, избавляет от тревожности, страха. Снимает эмоциональное напряжение, повышает работоспособность, очищает душу и помещение от негатива. Защищает от порчи, сглаза, возвращает гармонию в семью. Обеззараживает воздух, уменьшает головную боль, снимает спазмы, избавляет от бессонницы.;Несколько капель масла добавить в аромалампу. Зажечь ее и оставить в помещении на несколько часов.
19000296551;HEM Афродисия;ароматические масла;Индия;336;292;https://goldapple.ru/19000296551-afrodisia;;Ароматическое масло Афродисия предназначено для устранения неприятных запахов и дезодорирования помещения. Подходит для медитаций, духовных практик, молитв, занятий йогой. Помогает достичь нужного состояния транса. Масло распространяет свежий цветочный аромат, помогая получить полную релаксацию. Усиливает чувственность, сексуальность, делая ощущения ярче. Улучшает взаимопонимание, повышает восприимчивость эрогенных зон. Помогает в лечении фригидности и импотенции. Масло восстанавливает душевное равновесие, успокаивает. Укрепляет нервную систему, избавляет от тревожности, депрессии.;Несколько капель масла добавить в аромалампу. Зажечь ее и оставить в помещении на несколько часов.
19000296534;HEM Понтифик;ароматические масла;Индия;224;201;https://goldapple.ru/19000296534-pontifik;;Ароматическое масло Понтифик предназначено для ароматизации помещения и устранения неприятных запахов. Его используют для медитаций, духовных практик, молитв, занятий йогой. Масло распространяет теплый бальзамический, сладкий аромат. Он расслабляет, избавляет от усталости, нервозности. Успокаивает, восстанавливает душевное равновесие. Очищает помещение и ауру от негатива, сглаза, порчи. Укрепляет иммунитет, нервную систему, восстанавливает сон. Помогает достичь нужного состояния транса во время духовных практик и молитв. Создает уют и гармонию дома, обеззараживает воздух.;Несколько капель масла добавить в аромалампу. Зажечь ее и оставить в помещении на несколько часов.
19000296530;HEM Королева Ночи;ароматические масла;Индия;224;201;https://goldapple.ru/19000296530-koroleva-noci;;Ароматическое масло Королева ночи предназначено для устранения неприятных запахов и дезодорирования помещения. Подходит для медитаций, духовных практик, молитв, занятий йогой. Масло распространяет тонкий цветочный аромат ночного жасмина. Он восстанавливает душевное равновесие, успокаивает. Аромат ночного жасмина усиливает чувственность, сексуальность, делая ощущения ярче. Улучшает взаимопонимание, повышает восприимчивость эрогенных зон. Помогает в лечении фригидности и импотенции. Укрепляет нервную систему, избавляет от тревожности, депрессии. Помогает достичь нужного состояния транса.;Несколько капель масла добавить в аромалампу. Зажечь ее и оставить в помещении на несколько часов.
19000296548;HEM 7 Способностей;ароматические масла;Индия;336;302;https://goldapple.ru/19000296548-7-sposobnostej;;Ароматическое масло 7 Способностей предназначено для ароматизации помещения и устранения неприятных запахов. Во время медитаций, духовных практик, молитв и занятий йогой оно раскрывает скрытые способности и таланты человека. Масло наполняет пространство легким чувственным ароматом, который успокаивает нервную систему. Устраняет тревожность, агрессию, придает уверенность в своих силах. Избавляет от переутомления, напряжения. Усиливает сексуальность, повышает чувственность, наполняет энергией. Аромат масла притягивает финансовые потоки и успех, нормализует сон, создает ощущение уюта в доме.;Несколько капель масла добавить в аромалампу. Зажечь ее и оставить в помещении на несколько часов.
19000118730;CHIARA FIRENZE MELANGRANA;ароматические масла;;2120;1780;https://goldapple.ru/19000118730-melangrana;;Chiara Firenze посвящает свои ароматы в особый регион: Тоскана. история совершенства, страсти и связи с территорией, а также диалога между знаниями и далекими культурами. парфюмерное искусство и выбор ценных эфирных масел, таким образом, встречает мастеров флорентийских ремесленных мастерских, чтобы возродить магию этой особой земли в ваших комнатах. Аромат посвящен фруктам, завезенным в Европу морскими путями финикийских купцов , и изображенным такими художниками, как Донателло, Леонардо и Брунеллески. Основная нота этого аромата - гранат. Этот фрукт один из символов жизненной энергии, смирения, милосердия, плодородия, богатства и союза. Когда-то гранат использовался в первую очередь для украшения садов и для домашнего потребления, сегодня он все больше популярен в Тоскане, где его обычно называют меланграной.;
99000010921;КОММЕК ОРГАНИК Монарда;ароматические масла;;1950;1911;https://goldapple.ru/99000010921-monarda;;100% натуральное эфирное масло монарды оказывает выраженное противовоспалительное действие, стимулирует процессы заживления.;Для ароматизации воздуха в помещениях. Методы применения: аромалампы, аромакулоны.
19000118734;CHIARA FIRENZE ROSSO FIORENTINO;ароматические масла;;2120;1780;https://goldapple.ru/19000118734-fiorentino;;Chiara Firenze посвящает свои ароматы в особый регион: Тоскана. история совершенства, страсти и связи с территорией, а также диалога между знаниями и далекими культурами. парфюмерное искусство и выбор ценных эфирных масел, таким образом, встречает мастеров флорентийских ремесленных мастерских, чтобы возродить магию этой особой земли в ваших комнатах. Этот аромат получил свое название от отца флорентийского маньеризма , рисовальщика Россо Фиорентино. Его картины характеризуются интенсивными цветами, как и этот аромат, который представляет сильный оттенок всей гаммы ароматов Chiara Firenze. Цитрусовые нотки в сочетании с перцем и корицей создают стимулирующую и острую комбинацию.;
19000118724;CHIARA FIRENZE BIANCO DI BACCO;ароматические масла;;2120;1696;https://goldapple.ru/19000118724-bianco-di-bacco;;Chiara Firenze посвящает свои ароматы в особый регион: Тоскана. история совершенства, страсти и связи с территорией, а также диалога между знаниями и далекими культурами. парфюмерное искусство и выбор ценных эфирных масел, таким образом, встречает мастеров флорентийских ремесленных мастерских, чтобы возродить магию этой особой земли в ваших комнатах. Колючие нотки винограда Треббьяно и Мальвазия сочетаются со сладостью белого персика и смолы в соблазнительном аромате, посвященном богу вина!;
19000296521;HEM Эвкалипт;ароматические масла;Индия;224;201;https://goldapple.ru/19000296521-evkalipt;;Ароматическое масло Эвкалипт предназначено для устранения неприятных запахов и дезодорирования помещения, оказывает лечебный эффект. Оно распространяет свежий травяной аромат. Подходит для медитаций, духовных практик, молитв, занятий йогой. Помогает полностью расслабиться на сеансах массажа. Аромат эвкалипта обеззараживает воздух, способствует уничтожению плесени, вирусов и грибков. Уменьшает воспаление, частоту мигреней, убирает головные боли, головокружения. Облегчает дыхание, уменьшает кашель, убирает заложенность носа. Успокаивает нервную систему, улучшает качество и продолжительность сна.;Несколько капель масла добавить в аромалампу. Зажечь ее и оставить в помещении на несколько часов.
