article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000217127;RUCHI LAB Summer Coolness;ароматический воск;Россия;449;269;https://goldapple.ru/19000217127-summer-coolness;1.0;Создай свою волшебную атмосферу в домашних условиях, с помощью серий восков от Ruchi Lab!  Восковые плитки отличный вариант для ароматизации дома или рабочего места. Подходит для медитаций, йоги и расслабления.  Так же это удобный способ попробовать множество разных ароматов и создать свои с помощью смешивания. В отличие от свечей, воск не испаряется, а рассеивает аромат.  Плитка состоит из 100% экологического соевого воска. Хватает на 5 и более использований. Доказано, что приятный запах может прогнать грустные мысли и настроить на позитив.;Опустите кусочек плитки в лампу, подожгите чайную свечу и понаблюдайте, как воск плавится и наполняет ароматом помещение.
19000293774;ACHILOV удовое дерево;ароматический воск;Россия;500;450;https://goldapple.ru/19000293774-udovoe-derevo;1.0;Глубокий дымный, смолистый аромат обладает расслабляющим и успокаивающим эффектом.  Комплектация: ароматический воск для аромалампы 6 кубиков.;Для ароматизации шкафа и гардероба:   Освободить воск от упаковки.  Переложить кубики воска в мешочек.  Расположить мешочек внутри шкафа.   При использовании в аромалампе:  Освободить воск от упаковки.  Поместить на греющую чашу лампы и зажечь свечу.  Наслаждаться ароматом.
99000092140;LERBA №07 Lavender & Wormwood;ароматический воск;;600;420;https://goldapple.ru/99000092140-no07-lavender-wormwood;;№7 Лаванда и Полынь. Аромат Лаванда и полынь — это гармоничное сочетание двух самых популярных эфирных масел, которое подарит вам ощущение спокойствия и гармонии. Лаванда известна своими успокаивающими свойствами, она помогает снять стресс и напряжение, улучшает качество сна. Полынь же обладает терпким, горьковатым ароматом, который способствует концентрации внимания и повышению работоспособности. Вместе они создают уникальную композицию, которая подойдёт как для дома и офиса, так и для авто. Аромат с натуральным маслом лаванды для восстановления драгоценных ресурсов.;Для ароматизации шкафа и гардероба:  Переложить кубики воска в мешочек. Расположить мешочек внутри шкафа.  При использовании в аромалампе:  Освободить воск от упаковки. Поместить на греющую чашу лампы и зажечь свечу.
19000249266;SCENTED CUBES Poppy;ароматический воск;Эстония;715;286;https://goldapple.ru/19000249266-poppy;;Арома-кубик экологичнее и долговечнее, чем аромамасло, ароматические свечи и палочки. Он полностью испаряется, не оседая на поверхностях. Ароматический воск многоразовый, до полугода он будет радовать вас и создавать приятную атмосферу дома. В одной упаковке содержатся 8 ароматических кубиков воска, кубика рекомендуется использовать на площадь 18 м2. Вы можете смешивать кубики с разными ароматами между собой создавая эксклюзивный аромат для дома.;Достаньте нужное количество ароматических кубиков и положите в чашу аромалампы.  Зажгите чайную свечу в арома-лампе.  Наслаждайтесь ароматом.  Дополнительно: 4 кубика рассчитано на 18 м2.
19000249335;SCENTED CUBES Spring bloom;ароматический воск;Эстония;2015;806;https://goldapple.ru/19000249335-spring-bloom;;Набор аром-кубиков Весенне цветение подарит Вам ароматы весенних цветов ландыша, лаванды и фиалки. Вы можете смешивать кубики с разными ароматами между собой создавая эксклюзивный аромат для дома.;1.Достаньте нужное количество ароматических кубиков и положите в чашу аромалампы.  2.Зажгите чайную свечу в арома-лампе.  3. Наслаждайтесь ароматом.  Дополнительно: 4 кубика рассчитано на 18 м2. Вы можете смешивать ароматы.
99000026018;ENDORPHIA sweet dreams;ароматический воск;;1600;1600;https://goldapple.ru/99000026018-sweet-dreams;;Терпкие, пикантные ягоды розового перца и чувственные пачули делают аромат дерзким и ярким. Обволакивающий, теплый и пряный эликсир.  Срок действия: на 9 использований в аромалампе или до 4-х мес. в качестве аромасаше;Положите одну аромаплитку в чашу аромалампы, поместите под ней зажженную свечу «таблетку».  Максимальный аромат достигается при полном расплавлении ароматической плитки. Расплавленную плитку можно использовать повторно, снова разогрев ее при помощи свечи. Не оставляйте горящую свечу в аромалампе без присмотра!   При использовании Аромаплитки в качестве аромасаше в шкафу:  Поместите аромаплитки в хлопковый мешочек и разместите в шкафу на полках или в подвешенном виде. Количество используемых ароматических плиток в шкафу будет влиять на интенсивность аромата. Периодически проверяйте аромаплитки, чтобы убедиться, что они не соприкасаются с одеждой и не оставляют масляных пятен. Чтобы оживить аромат подогрейте плитки 7-10 секунд феном.
19000293769;ACHILOV мох и папоротник;ароматический воск;Россия;500;450;https://goldapple.ru/19000293769-moh-i-paporotnik;;Свежесть горного воздуха, речная прохлада, лес — лишь немногие из возникающих ассоциаций, стоит только послушать этот аромат. Комплектация: ароматический воск для аромалампы 6 кубиков.;Для ароматизации шкафа и гардероба:   Освободить воск от упаковки.  Переложить кубики воска в мешочек.  Расположить мешочек внутри шкафа.   При использовании в аромалампе:  Освободить воск от упаковки.  Поместить на греющую чашу лампы и зажечь свечу.  Наслаждаться ароматом.
19000249338;SCENTED CUBES Energy;ароматический воск;Эстония;2015;806;https://goldapple.ru/19000249338-energy;;Набор аром-кубиков Жизненная сила придаст Вам энергии ароматы бергамота, розы и гвоздики. Вы можете смешивать кубики с разными ароматами между собой создавая эксклюзивный аромат для дома.;1.Достаньте нужное количество ароматических кубиков и положите в чашу аромалампы.  2.Зажгите чайную свечу в арома-лампе.  3. Наслаждайтесь ароматом.  Дополнительно: 4 кубика рассчитано на 18 м2. Вы можете смешивать ароматы.
99000026021;ENDORPHIA pheromones;ароматический воск;;1600;1600;https://goldapple.ru/99000026021-pheromones;;В аромате четко прослеживается древесный мотив в сочетании с соблазнительными пачули. Обволакивающий шлейф придает кашемир и ваниль. Сексуальный, загадочный и чувственный аромат.  Срок действия: на 9 использований в аромалампе или до 4-х мес. в качестве аромасаше.;Положите одну аромаплитку в чашу аромалампы, поместите под ней зажженную свечу «таблетку».  Максимальный аромат достигается при полном расплавлении ароматической плитки. Расплавленную плитку можно использовать повторно, снова разогрев ее при помощи свечи. Не оставляйте горящую свечу в аромалампе без присмотра!   При использовании Аромаплитки в качестве аромасаше в шкафу:  Поместите аромаплитки в хлопковый мешочек и разместите в шкафу на полках или в подвешенном виде. Количество используемых ароматических плиток в шкафу будет влиять на интенсивность аромата. Периодически проверяйте аромаплитки, чтобы убедиться, что они не соприкасаются с одеждой и не оставляют масляных пятен.
19000249269;SCENTED CUBES Orchid;ароматический воск;Эстония;715;286;https://goldapple.ru/19000249269-orchid;;Арома-кубик экологичнее и долговечнее, чем аромамасло, ароматические свечи и палочки. Он полностью испаряется, не оседая на поверхностях. Ароматический воск многоразовый, до полугода он будет радовать вас и создавать приятную атмосферу дома. В одной упаковке содержатся 8 ароматических кубиков воска, кубика рекомендуется использовать на площадь 18 м2. Вы можете смешивать кубики с разными ароматами между собой создавая эксклюзивный аромат для дома.;Достаньте нужное количество ароматических кубиков и положите в чашу аромалампы.  Зажгите чайную свечу в арома-лампе.  Наслаждайтесь ароматом.  Дополнительно: 4 кубика рассчитано на 18 м2.
