article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000090634;MEDORI Aqua di Gio;автопарфюм;;323;290;https://goldapple.ru/19000090634-aqua-di-gio;22.5;Ароматизатор бутылочка подвесной, в блистере, для автомобиля.;В салоне автомобиля.
19000096285;BLESLY OUD WOOD;автопарфюм;;530;424;https://goldapple.ru/19000096285-oud-wood;13.5;Наравне с персональными ароматами, автопарфюмы стали неотъемлемой частью современной жизни. Использование ароматизаторов для авто самый удобный и изящный способ придать салону приятный аромат. Для настоящих автолюбителей важен не только внешний вид их авто, но и атмосфера в нем.   Насыщенные благородные ароматы BLESLY проникнут во все уголки авто, придадут салону насыщенный и элегантный аромат.   Ароматический диффузор – УДОВОЕ ДЕРЕВО. Глубокий дымный, смолистый аромат обладает расслабляющим и успокаивающим эффектом. Строгость и красоту удового дерева, подчёркивают ноты пачули и грейпфрута.;Откройте деревянную крышку диффузора, уберите защитный колпачок. Плотно закройте обратно деревянной крышкой диффузор.   Наклоните диффузор на 45-60 градусов и подержите пару секунд, крышка начнет пропитываться. Закрепите диффузор на зеркало заднего вида автомобиля или попробуйте использовать его в гардеробной или шкафу.   Пропитывайте крышку по мере необходимости или 1 раз в неделю, чтобы аромат не терял насыщенность.
19000160288;OXYGEN HOME Green mango;автопарфюм;Россия;542;487;https://goldapple.ru/19000160288-green-mango;9.9;Насыщенный аромат спелого манго с оттенками ананаса, персика и дыни дополняется едва уловимыми нотами хвои и ветивера.;Открутить деревянную крышку, снять защитный пластиковый колпачок, закрутить крышку. Перевернуть флакон на 2-3 секунда, дав пропитаться крышке. Повесить на зеркало заднего вида.  По мере необходимости переворачивайте флакон, для усиления яркости аромата
19000096286;BLESLY ТOBACCO & VANILLA;автопарфюм;;530;450;https://goldapple.ru/19000096286-tobacco-vanilla;9.1;Наравне с персональными ароматами, автопарфюмы стали неотъемлемой частью современной жизни. Использование ароматизаторов для авто самый удобный и изящный способ придать салону приятный аромат. Для настоящих автолюбителей важен не только внешний вид их авто, но и атмосфера в нем.   Насыщенные благородные ароматы BLESLY проникнут во все уголки авто, придадут салону насыщенный и элегантный аромат.  Ароматический диффузор – ТАБАК И ВАНИЛЬ.   Дорогая элегантная композиция, сочетающая в себе терпкость табачного листа и благородную сладость ванили. Аромат для искушенных сложными чувственными запахами.;Откройте деревянную крышку диффузора, уберите защитный колпачок. Плотно закройте обратно деревянной крышкой диффузор.   Наклоните диффузор на 45-60 градусов и подержите пару секунд, крышка начнет пропитываться.   Закрепите диффузор на зеркало заднего вида автомобиля или попробуйте использовать его в гардеробной или шкафу. Пропитывайте крышку по мере необходимости или 1 раз в неделю, чтобы аромат не терял насыщенность.
19000090607;MEDORI PARIS;автопарфюм;;298;172;https://goldapple.ru/19000090607-paris;7.68;Ароматизатор бутылочка подвесной, для автомобиля.;В салоне автомобиля.
19000160266;OXYGEN HOME noble mint;автопарфюм;Россия;542;487;https://goldapple.ru/19000160266-noble-mint;6.4;Легкий, в меру сладкий  аромат  свежей перечной мяты.;Открутить деревянную крышку, снять защитный пластиковый колпачок, закрутить крышку. Перевернуть флакон на 2-3 секунда, дав пропитаться крышке. Повесить на зеркало заднего вида.  По мере необходимости переворачивайте флакон, для усиления яркости аромата
19000216530;AIRYCANDLES BLACK PEPPER BLEND;автопарфюм;Россия;800;480;https://goldapple.ru/19000216530-black-pepper-blend;6.02;Пряный и одновременно сложный аромат черного и розового перца, который так обожают парфюмеры всего мира. Сочетание нот черного перца, нероли, амбры и мускуса  делают аромат неповторимым.                                                                                                                                                                                                                                                                    AiryСandles это российский бренд ароматической продукции созданной вручную с использованием экологичных и безопасных материалов. Стильный дизайн автопарфюма подчеркнёт пространство автомобиля и наполнит мягким ароматом.;• Открутите деревянную крышку • Извлеките пластиковую заглушку.  • Аккуратно закрутите деревянную крышку обратно. • Переверните флакон на 45-60 градусов на несколько секунд плотно прижимая веревочки к поверхности крышки, чтобы ароматическая жидкость пропитала крышку (именно крышка будет отдавать аромат) • Разместите автодиффузор в салоне автомобиля. • Если заметили, что автодиффузор перестал пахнуть, вновь переверните его на несколько секунд, плотно прижимая веревочки к деревянной поверхности. • Автодиффузором также можно ароматизировать небольшие помещения, площадью до 3 м2 ЗАПРЕЩЕНО использование в пищевых целях. Только для наружного применения! Избегать проливания маслянистой жидкости. В случае попадания жидкости на любую поверхность, убрать жидкость мыльным раствором .
19000049479;AROMA PRIME №5 Hopefulness;автопарфюм;;692;622;https://goldapple.ru/19000049479-no5-hopefulness;5.04;AROMA PRIME Hopefulnes/Оптимизм. Помоги себе насладиться жизнью здесь и сейчас притягивающими и пьянящими нотками. Раскрывается словно аттракцион в парке развлечений вашей мечты. Пессимизм – это настроение, оптимизм – это воля! Интенсивность: Высокая. Верхние ноты: Бергамот, Персик, Личи. Средние ноты: Жасмин, Пион, Апельсин. Базовые ноты: Дубовых мох, Мускус.;Открутить деревянную крышку  Удалить пластиковый аппликатор из горлышка  Закрутить деревянную крышку, не прилагая значительных усилий  Перевернуть флакон на 1-3 секунды для пропитывания крышки  Разместить вертикально в салоне автомобиля или в помещении.  Рекомендации: Для поддержания аромата в автомобиле рекомендуется переворачивать флакон раз в 2-3 дня. При использовании в салоне автомобиля, шнурок желательно делать покороче.
19000096289;BLESLY PEPPER & BERGAMOT;автопарфюм;;530;424;https://goldapple.ru/19000096289-pepper-bergamot;4.8;Наравне с персональными ароматами, автопарфюмы стали неотъемлемой частью современной жизни. Использование ароматизаторов для авто самый удобный и изящный способ придать салону приятный аромат. Для настоящих автолюбителей важен не только внешний вид их авто, но и атмосфера в нем.   Насыщенные благородные ароматы BLESLY проникнут во все уголки авто, придадут салону насыщенный и элегантный аромат.  Ароматический диффузор – ПЕРЕЦ И БЕРГАМОТ.   Сложная парфюмерная композиция, в сердце которой отчетливо ощущается розовый перец с его деликатной остринкой. Бергамот в верхней ноте добавляет балансирующую свежую кислинку. Аромат для любителей изысканных сочетаний.;Откройте деревянную крышку диффузора, уберите защитный колпачок. Плотно закройте обратно деревянной крышкой диффузор.   Наклоните диффузор на 45-60 градусов и подержите пару секунд, крышка начнет пропитываться. Закрепите диффузор на зеркало заднего вида автомобиля или попробуйте использовать его в гардеробной или шкафу.   Пропитывайте крышку по мере необходимости или 1 раз в неделю, чтобы аромат не терял насыщенность.
19000160272;OXYGEN HOME Italian cashmere;автопарфюм;Россия;542;487;https://goldapple.ru/19000160272-italian-cashmere;4.6;Теплый аромат  кашемира с легкими нотами мускуса.;Открутить деревянную крышку, снять защитный пластиковый колпачок, закрутить крышку. Перевернуть флакон на 2-3 секунда, дав пропитаться крышке. Повесить на зеркало заднего вида. По мере необходимости переворачивайте флакон, для усиления яркости аромата
